f (Hz),Vpp
100,"1.15"
200,01.14
500,01.12
1000,01.12
2000,01.14
5000,01.09
10000,0.5
20000,00.16
50000,00.04
100000,0.076
200000,0.093
500000,0.092
1000000,0.105
2000000,0.101
5000000,0.092
